pop	lon	lat	1	2
AGN	6.959	44.695	2	0
BIG	0.141	42.928999999999995	0	2
BON	6.7829999999999995	44.345	0	5
CHAS	6.539	46.853	0	2
CLAI	24.818	47.555	7	0
CLUS	6.475	45.901	3	1
CZGR	19.91	49.24	0	2
DOLE	6.101	46.427	0	2
HAHN	10.658	47.29	4	0
IZO	6.737	44.808	0	2
KAND	7.611000000000001	46.446000000000005	0	3
KROS	8.061	61.641000000000005	0	3
LEKA	11.583	65.041	0	2
LOCA	-5.565	57.43899999999999	0	3
LOER	-4.675	58.476000000000006	0	1
OFE	10.292	46.638999999999996	1	1
RECU	5.939	46.263000000000005	0	2
CESK	14.536	46.372	0	3
SINI	19.362000000000002	42.895	2	1
STAN	9.861	46.996	2	3
TREM	22.164	43.18600000000001	2	1
VARD	31.029	70.322	0	3
ZERM	7.7379999999999995	46.022	0	2
